2025-04-03 22:22:52,383 - ERROR - Traceback (most recent call last):
2025-04-03 22:22:52,384 - ERROR -   File "C:\Users\austi\PycharmProjects\YummyTD\main.py", line 131, in <module>
2025-04-03 22:22:52,384 - ERROR - game_tools.update_stats(screen, game_tools.user_health, game_tools.money, round_number, clock)
2025-04-03 22:22:52,384 - ERROR -   File "C:\Users\austi\PycharmProjects\YummyTD\game_tools.py", line 1222, in update_stats
2025-04-03 22:22:52,384 - ERROR - text1 = health_font.render(f"{int(health)}", True, (255, 255, 255))
2025-04-03 22:22:52,384 - ERROR - pygame
2025-04-03 22:22:52,384 - ERROR - .
2025-04-03 22:22:52,384 - ERROR - error
2025-04-03 22:22:52,384 - ERROR - :
2025-04-03 22:22:52,384 - ERROR - Library not initialized
2025-04-03 22:28:17,991 - INFO - spawning projectile (spool level: 66.9, mag size: 100)
2025-04-03 22:28:18,009 - INFO - spawning projectile (spool level: 68.1, mag size: 100)
2025-04-03 22:28:18,025 - INFO - spawning projectile (spool level: 69.2, mag size: 100)
2025-04-03 22:28:18,041 - INFO - spawning projectile (spool level: 70.4, mag size: 100)
2025-04-03 22:28:18,059 - INFO - spawning projectile (spool level: 71.6, mag size: 100)
2025-04-03 22:28:18,075 - INFO - spawning projectile (spool level: 72.7, mag size: 100)
2025-04-03 22:28:18,092 - INFO - spawning projectile (spool level: 74.0, mag size: 100)
2025-04-03 22:28:18,110 - INFO - spawning projectile (spool level: 75.2, mag size: 100)
2025-04-03 22:28:18,128 - INFO - spawning projectile (spool level: 76.4, mag size: 100)
2025-04-03 22:28:18,145 - INFO - spawning projectile (spool level: 77.7, mag size: 100)
2025-04-03 22:28:18,164 - INFO - spawning projectile (spool level: 79.0, mag size: 100)
2025-04-03 22:28:18,182 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,198 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,216 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,234 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,250 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,267 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,286 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,303 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,320 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,339 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,356 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,375 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,392 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,409 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,425 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,443 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,461 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,478 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,497 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,516 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,534 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,552 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,569 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,587 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,604 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,623 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,639 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,658 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,674 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,690 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,707 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,723 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,741 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,757 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,773 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,791 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,809 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,826 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,844 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,862 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,879 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,895 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,913 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,931 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,948 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,967 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:18,983 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,001 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,018 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,034 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,053 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,071 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,088 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,106 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,123 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,139 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,157 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,175 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,195 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,212 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,228 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,246 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,263 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,279 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,295 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,312 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,329 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,348 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,365 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,383 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,401 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,417 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,434 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,451 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,467 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,484 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,502 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,520 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,537 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,555 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,572 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,590 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,607 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,624 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,642 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,659 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,675 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,693 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,709 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,725 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,742 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,760 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,777 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,795 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,812 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,829 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,846 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,864 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,882 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,899 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,917 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,933 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,950 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,966 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:19,984 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,002 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,019 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,037 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,053 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,069 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,087 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,104 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,122 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,138 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,157 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,174 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,191 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,207 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,224 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,242 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,259 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,275 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,292 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,309 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,325 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,342 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,359 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,376 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,394 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,411 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,429 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,447 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,464 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,482 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,500 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,518 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,534 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,552 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,569 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,587 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,604 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,621 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,638 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,655 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,671 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,689 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,705 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,722 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,739 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,757 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,774 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,792 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,809 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,825 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,843 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,860 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,877 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,894 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,911 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,929 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,946 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,963 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,980 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:20,998 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,014 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,030 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,048 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,065 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,083 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,100 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,118 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,136 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,153 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,169 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,185 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,202 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,219 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,236 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,255 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,273 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,290 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,307 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,325 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,341 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,358 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,375 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,392 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,408 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,425 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,443 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,460 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,478 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,495 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,513 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,530 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,548 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,565 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,584 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,601 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,618 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,634 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,652 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,669 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,686 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,705 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,724 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,742 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,758 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,776 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,793 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,809 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,827 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,843 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,860 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,876 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,894 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,911 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,928 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,946 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,963 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,981 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:21,997 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,014 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,030 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,048 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,065 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,082 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,098 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,116 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,132 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,148 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,164 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,182 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,200 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,217 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,235 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,252 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,268 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,286 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,303 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,319 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,337 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,354 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,370 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,387 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,404 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,421 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,438 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,456 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,473 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,489 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,507 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,523 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,541 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,558 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,574 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,590 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,608 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,626 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,643 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
2025-04-03 22:28:22,660 - INFO - spawning projectile (spool level: 80.0, mag size: 100)
